City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,san patricio,28.017,-97.5169,26.97,55,68,3.02,US,1730846730
117,eureka,40.8021,-124.1637,15.67,74,43,3.58,US,1730846731
118,torghay,49.6339,63.4981,3.56,97,100,9.35,KZ,1730846733
119,avarua,-21.2078,-159.775,25.03,78,100,1.54,CK,1730846734
120,kapuskasing,49.4169,-82.4331,6.05,93,100,2.06,CA,1730846735
121,uturoa,-16.7333,-151.4333,27.12,81,76,4.6,PF,1730846736
122,minas de marcona,-15.2119,-75.1103,15.43,76,9,6.96,PE,1730846738
123,oppdal,62.5943,9.6912,2.61,85,54,1.69,NO,1730846739
124,bathsheba,13.2167,-59.5167,29.34,79,40,3.09,BB,1730846741
125,cajabamba,-7.6167,-78.05,13.91,83,100,2.21,PE,1730846742
126,tralee,52.2704,-9.7026,13.95,98,100,1.66,IE,1730846743
127,carnarvon,-24.8667,113.6333,19.65,69,1,9.5,AU,1730846744
128,ghat,24.9647,10.1728,18.68,34,59,1.8,LY,1730846745
129,geneina,13.45,22.45,22.01,27,29,7.13,SD,1730846746
130,heber springs,35.4915,-92.0313,16.17,91,100,1.75,US,1730846747
131,harar,9.3094,42.1258,14.44,68,57,0.56,ET,1730846748
132,malango,-2.9627,119.9001,21.42,81,92,0.18,ID,1730846750
133,tolanaro,-25.0319,46.9987,24.04,83,40,9.26,MG,1730846751
134,holualoa,19.6228,-155.9522,26.91,89,40,6.69,US,1730846753
135,santa catalina,9.3337,122.8637,26.3,85,82,1.71,PH,1730846754
136,lebedyan',53.0194,39.1664,-3.46,95,66,2.42,RU,1730846755
137,birzebbuga,35.8258,14.5269,17.38,82,20,0.51,MT,1730846756
138,vilyuchinsk,52.9306,158.4028,-2.85,71,84,3.36,RU,1730846757
139,qaqortoq,60.7167,-46.0333,-12.56,84,4,2.86,GL,1730846759
140,papatowai,-46.5619,169.4708,16.09,58,9,3.56,NZ,1730846760
141,palmer,42.1584,-72.3287,19.73,62,73,0.45,US,1730846761
142,mejit,10.2753,170.8646,28.59,81,100,8.99,MH,1730846762
143,polyarnyy,69.1989,33.4478,4.05,79,87,11.78,RU,1730846764
144,warrnambool,-38.3833,142.4833,24.17,42,96,7.53,AU,1730846566
145,klerksdorp,-26.8521,26.6667,10.41,35,1,2.69,ZA,1730846766
146,miquelon,47.0975,-56.3814,7.48,79,100,8.11,PM,1730846768
147,plettenberg bay,-34.0527,23.3716,13.01,86,75,2.84,ZA,1730846769
148,itaituba,-4.2761,-55.9836,26.12,78,90,1.29,BR,1730846770
149,cadale,2.7603,46.3222,25.97,87,32,5.34,SO,1730846771
150,lata,40.1629,-8.3327,15.95,93,100,1.17,PT,1730846772
151,chehalis,46.662,-122.964,12.17,76,75,0.45,US,1730846484
152,quellon,-43.1167,-73.6167,8.96,82,95,5.54,CL,1730846774
153,lihue,21.9789,-159.3672,27.77,82,20,4.12,US,1730846775
154,hamilton,39.1834,-84.5333,25.43,60,75,8.23,US,1730846715
155,pisco,-13.7,-76.2167,21.03,68,0,8.23,PE,1730846778
156,beruniy,41.6911,60.7525,4.98,60,0,6.17,UZ,1730846779
157,san antonio de pale,-1.4014,5.6325,25.59,83,93,3.95,GQ,1730846780
158,ningbo,29.8782,121.5495,11.99,76,20,3.0,CN,1730846781
159,port mathurin,-19.6833,63.4167,23.84,82,65,8.15,MU,1730846782
160,nishinoomote,30.7333,131.0,19.84,62,2,11.64,JP,1730846783
161,codrington,-38.2667,141.9667,24.23,39,100,8.86,AU,1730846784
162,paracuru,-3.41,-39.0306,25.98,80,87,6.5,BR,1730846785
163,karratha,-20.7377,116.8463,31.85,20,2,4.09,AU,1730846787
164,dakhla,23.6848,-15.958,19.85,89,1,6.0,EH,1730846788
165,nar'yan-mar,67.6713,53.087,-4.41,94,51,4.56,RU,1730846789
166,agat village,13.3886,144.6585,29.64,91,20,3.6,GU,1730846790
167,vernon,50.2581,-119.2691,8.58,38,46,1.34,CA,1730846651
168,fuglafjordur,62.244,-6.814,8.65,92,39,6.51,FO,1730846792
169,longyearbyen,78.2186,15.6401,-2.09,100,100,3.6,SJ,1730846793
170,muisne,0.6,-80.0333,23.6,79,93,3.14,EC,1730846794
171,barakani,-12.1356,44.4317,26.32,85,7,4.08,KM,1730846796
172,beyneu,45.3167,55.2,1.91,67,92,13.33,KZ,1730846797
173,dunedin,-45.8742,170.5036,14.14,76,6,2.54,NZ,1730846798
174,revda,56.801,59.9303,-4.43,94,100,3.82,RU,1730846799
175,westport,41.1415,-73.3579,18.82,82,0,5.14,US,1730846800
176,basco,20.4487,121.9702,25.76,84,100,17.73,PH,1730846802
177,sassandra,4.95,-6.0833,25.17,86,23,1.04,CI,1730846804
178,rocha,-34.4833,-54.3333,11.55,83,19,1.64,UY,1730846805
179,puerto baquerizo moreno,-0.9,-89.6,24.55,57,40,4.63,EC,1730846806
180,alegria,9.4669,125.5772,26.54,79,96,1.46,PH,1730846807
181,tiksi,71.6872,128.8694,-12.06,72,100,8.78,RU,1730846808
182,college,64.8569,-147.8028,-1.62,74,75,3.09,US,1730846716
183,tura,25.5198,90.2201,20.09,92,100,1.48,IN,1730846810
184,franceville,-1.6333,13.5836,21.43,98,99,0.31,GA,1730846811
185,sabha,27.0377,14.4283,17.76,49,0,4.32,LY,1730846812
186,ponta delgada,37.7333,-25.6667,21.4,94,40,11.32,PT,1730846814
187,chibougamau,49.9168,-74.3659,9.79,100,100,1.03,CA,1730846815
188,nazarabad,35.9521,50.6075,9.45,53,0,3.46,IR,1730846816
189,lompoc,34.6391,-120.4579,18.62,72,0,8.05,US,1730846646
190,kachug,53.9606,105.8817,-2.98,93,100,0.95,RU,1730846818
191,huron,41.1501,-82.5499,23.14,60,39,9.19,US,1730846819
192,shahba,32.8551,36.629,14.52,52,0,2.25,SY,1730846820
193,whitehorse,60.7161,-135.0538,-1.06,92,100,9.26,CA,1730846821
194,praia da vitoria,38.7333,-27.0667,18.14,88,40,13.18,PT,1730846823
195,shubarshi,48.5872,57.1869,-0.93,90,97,10.53,KZ,1730846824
196,pacific grove,36.6177,-121.9166,18.56,79,0,1.79,US,1730846825
197,manokwari,-0.8667,134.0833,27.7,72,93,0.86,ID,1730846826
198,laurel,39.0993,-76.8483,22.82,72,0,2.06,US,1730846827
199,ndele,8.4109,20.6473,22.11,55,2,1.3,CF,1730846828
200,tamanrasset,22.785,5.5228,18.95,27,0,1.54,DZ,1730846829
201,hithadhoo,-0.6,73.0833,27.92,71,6,2.99,MV,1730846830
202,nowshahr,36.649,51.496,12.97,100,100,2.06,IR,1730846832
203,vorgashor,67.5833,63.95,-3.78,94,100,6.76,RU,1730846833
204,sitka,57.0531,-135.33,7.94,71,100,12.35,US,1730846834
205,tazacorte,28.629,-17.9293,20.54,82,75,3.09,ES,1730846835
206,mount isa,-20.7333,139.5,31.87,37,3,3.6,AU,1730846836
207,kurmuk,10.55,34.2833,22.77,68,6,1.61,SD,1730846837
208,ribeira grande,38.5167,-28.7,19.87,75,100,11.18,PT,1730846838
209,kangundo,-1.2979,37.3471,16.59,89,52,1.7,KE,1730846839
210,princeville,45.7668,-61.2985,8.76,97,100,3.09,CA,1730846841
211,urangan,-25.3,152.9,23.74,68,18,7.04,AU,1730846842
212,kalach-na-donu,48.691,43.5264,-1.73,82,41,6.7,RU,1730846843
213,papao,-17.75,-149.55,29.82,75,63,2.67,PF,1730846844
214,fada,7.25,4.0667,21.66,75,0,0.65,NG,1730846845
215,talnakh,69.4865,88.3972,-4.93,91,100,7.9,RU,1730846846
216,saipan,15.1355,145.701,29.39,87,20,7.2,MP,1730846847
217,jiangyou,31.7667,104.7167,15.71,81,99,0.84,CN,1730846848
218,richards bay,-28.783,32.0377,16.98,79,100,9.01,ZA,1730846850
219,filey,54.21,-0.2892,9.97,39,19,2.61,GB,1730846851
